sourceTaxonId;sourceTaxonName;sourceLifestageName;interactionTypeName;targetGenericItemName;localityName;reference1Id;reference2Id;reference3Id;reference4Id
A22;Hyla intermedia;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A22;Hyla intermedia;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A22;Hyla intermedia;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A22;Hyla intermedia;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A23;Hyla meridionalis;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A24;Hyla sarda;all;eats;algae;EUROPE;HERPref7;;;
A24;Hyla sarda;all;eats;detritus;EUROPE;HERPref7;;;
A24;Hyla sarda;all;eats;invertebrates;EUROPE;HERPref7;;;
A25;Hyla savignyi;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A25;Hyla savignyi;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A25;Hyla savignyi;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A25;Hyla savignyi;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A26;Lyciasalamandra antalyana;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A27;Lyciasalamandra atifi;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A28;Lyciasalamandra billae;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A29;Lyciasalamandra fazilae;all;eats;invertebrates;EUROPE;HERPref8;;;
A30;Lyciasalamandra flavimembris;all;eats;invertebrates;EUROPE;HERPref5;HERPref8;;
A31;Lyciasalamandra helverseni;all;eats;invertebrates;EUROPE;HERPref9;HERPref5;;
A32;Lyciasalamandra luschani;all;eats;invertebrates;EUROPE;HERPref9;HERPref5;;
A33;Mertensiella caucasica;all;eats;invertebrates;EUROPE;HERPref10;;;
A34;Neurergus crocatus;all;eats;invertebrates;EUROPE;HERPref11;;;
A35;Neurergus strauchii;all;eats;invertebrates;EUROPE;HERPref11;;;
A36;Pelobates cultripes;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref6;
A36;Pelobates cultripes;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref6;
A36;Pelobates cultripes;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref6;
A36;Pelobates cultripes;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref6;
A37;Pelobates fuscus;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A37;Pelobates fuscus;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A37;Pelobates fuscus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A37;Pelobates fuscus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A38;Pelobates syriacus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A39;Pelodytes caucasicus;all;eats;algae;EUROPE;HERPref12;;;
A39;Pelodytes caucasicus;all;eats;detritus;EUROPE;HERPref12;;;
A39;Pelodytes caucasicus;all;eats;other plant parts;EUROPE;HERPref12;;;
A39;Pelodytes caucasicus;all;eats;invertebrates;EUROPE;HERPref12;;;
A40;Pelodytes ibericus;all;eats;algae;EUROPE;HERPref6;;;
A40;Pelodytes ibericus;all;eats;detritus;EUROPE;HERPref6;;;
A40;Pelodytes ibericus;all;eats;other plant parts;EUROPE;HERPref6;;;
A40;Pelodytes ibericus;all;eats;invertebrates;EUROPE;HERPref6;;;
A41;Pelodytes punctatus;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A41;Pelodytes punctatus;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A41;Pelodytes punctatus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A41;Pelodytes punctatus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A42;Pleurodeles waltl;all;eats;invertebrates;EUROPE;HERPref4;HERPref6;;
A43;Proteus anguinus;all;eats;detritus;EUROPE;HERPref7;;;
A43;Proteus anguinus;all;eats;invertebrates;EUROPE;HERPref7;;;
A44;Rana arvalis;all;eats;algae;EUROPE;HERPref4;HERPref5;;
A44;Rana arvalis;all;eats;detritus;EUROPE;HERPref4;HERPref5;;
A44;Rana arvalis;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;;
A44;Rana arvalis;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;;
A45;Pelophylax bedriagae;all;eats;algae;EUROPE;HERPref9;;;
A45;Pelophylax bedriagae;all;eats;detritus;EUROPE;HERPref9;;;
A45;Pelophylax bedriagae;all;eats;other plant parts;EUROPE;HERPref9;;;
A45;Pelophylax bedriagae;all;eats;invertebrates;EUROPE;HERPref9;;;
A45;Pelophylax bedriagae;all;eats;fish;EUROPE;HERPref9;;;
A46;Pelophylax bergeri;all;eats;algae;EUROPE;HERPref7;;;
A46;Pelophylax bergeri;all;eats;detritus;EUROPE;HERPref7;;;
A46;Pelophylax bergeri;all;eats;other plant parts;EUROPE;HERPref7;;;
A46;Pelophylax bergeri;all;eats;invertebrates;EUROPE;HERPref7;;;
A46;Pelophylax bergeri;all;eats;fish;EUROPE;HERPref7;;;
A47;Pelophylax cerigensis;all;eats;algae;EUROPE;HERPref9;;;
A47;Pelophylax cerigensis;all;eats;detritus;EUROPE;HERPref9;;;
A47;Pelophylax cerigensis;all;eats;other plant parts;EUROPE;HERPref9;;;
A47;Pelophylax cerigensis;all;eats;invertebrates;EUROPE;HERPref9;;;
A47;Pelophylax cerigensis;all;eats;fish;EUROPE;HERPref9;;;
A48;Pelophylax cretensis;all;eats;algae;EUROPE;HERPref9;;;
A48;Pelophylax cretensis;all;eats;detritus;EUROPE;HERPref9;;;
A48;Pelophylax cretensis;all;eats;other plant parts;EUROPE;HERPref9;;;
A48;Pelophylax cretensis;all;eats;invertebrates;EUROPE;HERPref9;;;
A48;Pelophylax cretensis;all;eats;fish;EUROPE;HERPref9;;;
A49;Rana dalmatina;all;eats;algae;EUROPE;HERPref4;HERPref7;;
A49;Rana dalmatina;all;eats;detritus;EUROPE;HERPref4;HERPref7;;
A49;Rana dalmatina;all;eats;other plant parts;EUROPE;HERPref4;HERPref7;;
A49;Rana dalmatina;all;eats;invertebrates;EUROPE;HERPref4;HERPref7;;
A50;Pelophylax epeiroticus;all;eats;algae;EUROPE;HERPref9;;;
A50;Pelophylax epeiroticus;all;eats;detritus;EUROPE;HERPref9;;;
A50;Pelophylax epeiroticus;all;eats;other plant parts;EUROPE;HERPref9;;;
A50;Pelophylax epeiroticus;all;eats;invertebrates;EUROPE;HERPref9;;;
A50;Pelophylax epeiroticus;all;eats;fish;EUROPE;HERPref9;;;
A51;Pelophylax esculentus;all;eats;algae;EUROPE;HERPref4;HERPref5;HERPref7;
A51;Pelophylax esculentus;all;eats;detritus;EUROPE;HERPref4;HERPref5;HERPref7;
A51;Pelophylax esculentus;all;eats;other plant parts;EUROPE;HERPref4;HERPref5;HERPref7;
A51;Pelophylax esculentus;all;eats;invertebrates;EUROPE;HERPref4;HERPref5;HERPref7;
A51;Pelophylax esculentus;all;eats;fish;EUROPE;HERPref4;HERPref5;HERPref7;
A52;Rana graeca;all;eats;algae;EUROPE;HERPref4;;;
A52;Rana graeca;all;eats;detritus;EUROPE;HERPref4;;;
A52;Rana graeca;all;eats;other plant parts;EUROPE;HERPref4;;;
A52;Rana graeca;all;eats;invertebrates;EUROPE;HERPref4;;;
A53;Pelophylax kl. grafi;all;eats;algae;EUROPE;HERPref6;;;
A53;Pelophylax kl. grafi;all;eats;detritus;EUROPE;HERPref6;;;
A53;Pelophylax kl. grafi;all;eats;other plant parts;EUROPE;HERPref6;;;
A53;Pelophylax kl. grafi;all;eats;invertebrates;EUROPE;HERPref6;;;
A54;Pelophylax kl. hispanicus;all;eats;algae;EUROPE;HERPref7;;;
A54;Pelophylax kl. hispanicus;all;eats;detritus;EUROPE;HERPref7;;;
A54;Pelophylax kl. hispanicus;all;eats;other plant parts;EUROPE;HERPref7;;;
A54;Pelophylax kl. hispanicus;all;eats;invertebrates;EUROPE;HERPref7;;;
A54;Pelophylax kl. hispanicus;all;eats;fish;EUROPE;HERPref7;;;
A55;Rana iberica;all;eats;algae;EUROPE;HERPref6;;;
A55;Rana iberica;all;eats;detritus;EUROPE;HERPref6;;;
A55;Rana iberica;all;eats;other plant parts;EUROPE;HERPref6;;;
A55;Rana iberica;all;eats;invertebrates;EUROPE;HERPref6;;;
A56;Rana italica;all;eats;algae;EUROPE;HERPref7;;;
A56;Rana italica;all;eats;detritus;EUROPE;HERPref7;;;
A56;Rana italica;all;eats;other plant parts;EUROPE;HERPref7;;;
A56;Rana italica;all;eats;invertebrates;EUROPE;HERPref7;;;
A57;Pelophylax kurtmuelleri;all;eats;algae;EUROPE;HERPref9;;;
A57;Pelophylax kurtmuelleri;all;eats;detritus;EUROPE;HERPref9;;;
A57;Pelophylax kurtmuelleri;all;eats;other plant parts;EUROPE;HERPref9;;;
A57;Pelophylax kurtmuelleri;all;eats;invertebrates;EUROPE;HERPref9;;;
A57;Pelophylax kurtmuelleri;all;eats;fish;EUROPE;HERPref9;;;
